comment_id,Explicit Abusive Expression,Implicit Abusive Expression,Language Independent Change,Croatian specific Language Change,Croatia Knowledge Based,World Knowledge Based,Other
22278126,No,No,No,No,No,No,Yes
22176010,Yes,No,No,No,No,No,No
21805754,No,No,No,Yes,No,No,No
21620653,No,No,No,No,No,No,Yes
21671014,Yes,No,No,No,No,No,No
22164995,Yes,No,No,No,Yes,No,No
21608752,Yes,No,No,No,Yes,No,No
22155468,Yes,No,Yes,No,No,No,No
21714791,Yes,No,No,No,No,No,No
21796604,Yes,No,No,No,No,No,No
21677408,No,No,No,No,No,No,Yes
22145783,Yes,No,No,No,No,No,No
22291133,Yes,No,No,Yes,No,No,No
21608609,Yes,No,No,No,No,No,No
21802114,Yes,No,No,Yes,No,No,No
22233582,No,No,No,No,No,No,Yes
22328789,Yes,No,No,No,No,No,No
22198515,No,No,No,No,No,No,Yes
21934958,No,No,Yes,No,No,No,No
21619854,Yes,No,No,No,No,No,No
21778392,No,No,No,No,No,No,Yes
21893521,No,No,No,No,No,No,Yes
22165738,Yes,No,No,No,No,No,No
21869326,No,Yes,No,No,Yes,No,No
22111335,Yes,No,No,No,No,No,No
21983959,No,No,No,No,Yes,No,No
21806171,No,No,No,No,No,No,Yes
21995502,No,No,No,No,No,No,Yes
22004593,Yes,No,No,No,Yes,No,No
21881999,No,No,Yes,No,No,No,No
22029315,No,Yes,No,No,No,No,No
21912686,No,No,No,Yes,Yes,No,No
21741632,Yes,No,No,Yes,No,No,No
21695906,No,No,Yes,No,No,No,No
21612949,Yes,No,No,No,No,No,No
22059565,Yes,No,No,No,Yes,No,No
22158494,No,No,No,Yes,No,No,No
22069930,No,No,Yes,No,No,No,No
21778226,Yes,No,No,No,No,No,No
21631395,Yes,No,No,No,No,No,No
22313278,No,Yes,No,No,No,No,No
21999713,No,No,No,No,No,No,Yes
22253300,No,No,No,No,No,No,Yes
21931007,No,No,No,No,No,No,Yes
21616754,Yes,No,No,No,No,No,No
22251705,Yes,No,No,No,No,No,No
21692979,No,No,No,No,Yes,No,No
22080131,No,Yes,No,No,No,No,No
22138724,Yes,No,No,No,No,No,No
21795898,Yes,No,No,No,No,No,No
21942843,No,No,No,No,No,No,Yes
22305483,Yes,No,No,No,No,No,No
21622021,Yes,No,No,No,No,No,No
